id,seats,seat_end,seat_start,number_seats,years,num_years,renewed,attendance,performance,tix_num,zip,distance,sections,num_sections,multiple_sections,lower_level,club_level,upper_level,gender,gender_num,date
19394004,"[17, 16, 18, 15]",18,15,4,"[2015, 2019]",2,0,0.877906976744186,0.5487804878048781,172,80112,14.946578233208779,['102'],1,0,1,0,0,male,2,2015
1509142,"[15, 18, 3, 8, 5, 16, 7, 4, 17, 6, 14, 13, 12, 11, 9, 10, 20, 19]",20,3,18,[2015],1,0,0.9008397932816538,0.5487804878048781,3096,80204,0.8884784617602121,['104' '110' '120' '122' '124' '304' '340'],7,1,1,0,1,male,2,2015
9239498,"[2, 1]",2,1,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8604651162790697,0.5487804878048781,86,80921,51.97091242945378,['104'],1,0,1,0,0,male,2,2015
1740091,"[7, 5, 6, 8]",8,5,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8023255813953488,0.5487804878048781,172,80016,17.5762661692004,['104'],1,0,1,0,0,male,2,2015
1688543,"[12, 11, 13, 7, 14, 8]",14,7,8,[2015],1,0,0.7441860465116279,0.5487804878048781,86,80005,9.195563944476039,['102' '106'],2,1,1,0,0,male,2,2015
102238,"[2, 3, 4, 1]",4,1,4,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8178294573643411,0.5487804878048781,258,80202,0.41975542715115144,['104' '128'],2,1,1,0,0,male,2,2015
18094028,"[18, 17, 1, 2]",18,1,18,"[2015, 2016]",2,1,0.563953488372093,0.5487804878048781,172,58703,11.042246228688796,['102' '104'],2,1,1,0,0,male,2,2015
100313,"[3, 4]",4,3,2,"[2015, 2016, 2017, 2018, 2019]",5,1,0.8488372093023255,0.5487804878048781,86,80205,2.1536172516902488,['102'],1,0,1,0,0,mostly_male,2,2015
7002337,"[11, 1, 2, 9, 10, 12, 5, 6]",12,1,12,[2015],1,0,0.938953488372093,0.5487804878048781,344,0,11.042246228688796,['104'],1,0,1,0,0,male,2,2015
7313975,"[11, 13, 14, 12, 10, 6, 1, 5, 4, 3, 7, 2, 9, 8, 18, 15, 16, 17]",18,1,18,[2015],1,0,0.9336680761099366,0.5487804878048781,3784,02302,11.042246228688796,['104' '110' '116' '122' '134' '362' '138' '140' '348' '378'],10,1,1,0,1,mostly_male,2,2015
